InputType,N,Algorithm,Run,Time
Sorted,10,Selection Sort,1,0.000000
Sorted,10,Selection Sort,2,0.000000
Sorted,10,Selection Sort,3,0.000000
Sorted,10,Selection Sort,4,0.000000
Sorted,10,Selection Sort,5,0.000000
Sorted,10,Bubble Sort,1,0.000000
Sorted,10,Bubble Sort,2,0.000000
Sorted,10,Bubble Sort,3,0.000000
Sorted,10,Bubble Sort,4,0.000000
Sorted,10,Bubble Sort,5,0.000000
Sorted,10,Insertion Sort,1,0.000000
Sorted,10,Insertion Sort,2,0.000000
Sorted,10,Insertion Sort,3,0.000000
Sorted,10,Insertion Sort,4,0.000000
Sorted,10,Insertion Sort,5,0.000000
Sorted,10,Merge Sort,1,0.000000
Sorted,10,Merge Sort,2,0.000000
Sorted,10,Merge Sort,3,0.000000
Sorted,10,Merge Sort,4,0.000000
Sorted,10,Merge Sort,5,0.000000
Sorted,10,Quick Sort,1,0.000000
Sorted,10,Quick Sort,2,0.000000
Sorted,10,Quick Sort,3,0.000000
Sorted,10,Quick Sort,4,0.000000
Sorted,10,Quick Sort,5,0.000000
Sorted,10,Heap Sort,1,0.000000
Sorted,10,Heap Sort,2,0.000000
Sorted,10,Heap Sort,3,0.000000
Sorted,10,Heap Sort,4,0.000000
Sorted,10,Heap Sort,5,0.000000
Sorted,100,Selection Sort,1,0.000000
Sorted,100,Selection Sort,2,0.000000
Sorted,100,Selection Sort,3,0.000000
Sorted,100,Selection Sort,4,0.000000
Sorted,100,Selection Sort,5,0.000000
Sorted,100,Bubble Sort,1,0.000000
Sorted,100,Bubble Sort,2,0.000000
Sorted,100,Bubble Sort,3,0.000000
Sorted,100,Bubble Sort,4,0.000000
Sorted,100,Bubble Sort,5,0.000000
Sorted,100,Insertion Sort,1,0.000000
Sorted,100,Insertion Sort,2,0.000000
Sorted,100,Insertion Sort,3,0.000000
Sorted,100,Insertion Sort,4,0.000000
Sorted,100,Insertion Sort,5,0.000000
Sorted,100,Merge Sort,1,0.000000
Sorted,100,Merge Sort,2,0.000000
Sorted,100,Merge Sort,3,0.000000
Sorted,100,Merge Sort,4,0.000000
Sorted,100,Merge Sort,5,0.000000
Sorted,100,Quick Sort,1,0.000000
Sorted,100,Quick Sort,2,0.000000
Sorted,100,Quick Sort,3,0.000000
Sorted,100,Quick Sort,4,0.000000
Sorted,100,Quick Sort,5,0.000000
Sorted,100,Heap Sort,1,0.000000
Sorted,100,Heap Sort,2,0.000000
Sorted,100,Heap Sort,3,0.000000
Sorted,100,Heap Sort,4,0.000000
Sorted,100,Heap Sort,5,0.000000
Sorted,1000,Selection Sort,1,0.000000
Sorted,1000,Selection Sort,2,0.000000
Sorted,1000,Selection Sort,3,0.000000
Sorted,1000,Selection Sort,4,0.015000
Sorted,1000,Selection Sort,5,0.000000
Sorted,1000,Bubble Sort,1,0.000000
Sorted,1000,Bubble Sort,2,0.000000
Sorted,1000,Bubble Sort,3,0.000000
Sorted,1000,Bubble Sort,4,0.000000
Sorted,1000,Bubble Sort,5,0.000000
Sorted,1000,Insertion Sort,1,0.000000
Sorted,1000,Insertion Sort,2,0.000000
Sorted,1000,Insertion Sort,3,0.000000
Sorted,1000,Insertion Sort,4,0.000000
Sorted,1000,Insertion Sort,5,0.000000
Sorted,1000,Merge Sort,1,0.000000
Sorted,1000,Merge Sort,2,0.000000
Sorted,1000,Merge Sort,3,0.000000
Sorted,1000,Merge Sort,4,0.000000
Sorted,1000,Merge Sort,5,0.000000
Sorted,1000,Quick Sort,1,0.000000
Sorted,1000,Quick Sort,2,0.000000
Sorted,1000,Quick Sort,3,0.000000
Sorted,1000,Quick Sort,4,0.000000
Sorted,1000,Quick Sort,5,0.000000
Sorted,1000,Heap Sort,1,0.000000
Sorted,1000,Heap Sort,2,0.000000
Sorted,1000,Heap Sort,3,0.000000
Sorted,1000,Heap Sort,4,0.000000
Sorted,1000,Heap Sort,5,0.000000
Sorted,10000,Selection Sort,1,0.127000
Sorted,10000,Selection Sort,2,0.142000
Sorted,10000,Selection Sort,3,0.126000
Sorted,10000,Selection Sort,4,0.137000
Sorted,10000,Selection Sort,5,0.142000
Sorted,10000,Bubble Sort,1,0.111000
Sorted,10000,Bubble Sort,2,0.141000
Sorted,10000,Bubble Sort,3,0.127000
Sorted,10000,Bubble Sort,4,0.148000
Sorted,10000,Bubble Sort,5,0.126000
Sorted,10000,Insertion Sort,1,0.000000
Sorted,10000,Insertion Sort,2,0.000000
Sorted,10000,Insertion Sort,3,0.000000
Sorted,10000,Insertion Sort,4,0.000000
Sorted,10000,Insertion Sort,5,0.000000
Sorted,10000,Merge Sort,1,0.000000
Sorted,10000,Merge Sort,2,0.000000
Sorted,10000,Merge Sort,3,0.016000
Sorted,10000,Merge Sort,4,0.000000
Sorted,10000,Merge Sort,5,0.000000
Sorted,10000,Quick Sort,1,0.000000
Sorted,10000,Quick Sort,2,0.000000
Sorted,10000,Quick Sort,3,0.000000
Sorted,10000,Quick Sort,4,0.000000
Sorted,10000,Quick Sort,5,0.000000
Sorted,10000,Heap Sort,1,0.000000
Sorted,10000,Heap Sort,2,0.015000
Sorted,10000,Heap Sort,3,0.000000
Sorted,10000,Heap Sort,4,0.000000
Sorted,10000,Heap Sort,5,0.000000
Sorted,100000,Selection Sort,1,14.324000
Sorted,100000,Selection Sort,2,17.062000
Sorted,100000,Selection Sort,3,12.945000
Sorted,100000,Selection Sort,4,12.801000
Sorted,100000,Selection Sort,5,12.709000
Sorted,100000,Bubble Sort,1,12.173000
Sorted,100000,Bubble Sort,2,12.125000
Sorted,100000,Bubble Sort,3,12.055000
Sorted,100000,Bubble Sort,4,12.197000
Sorted,100000,Bubble Sort,5,12.045000
Sorted,100000,Insertion Sort,1,0.000000
Sorted,100000,Insertion Sort,2,0.000000
Sorted,100000,Insertion Sort,3,0.000000
Sorted,100000,Insertion Sort,4,0.000000
Sorted,100000,Insertion Sort,5,0.000000
Sorted,100000,Merge Sort,1,0.032000
Sorted,100000,Merge Sort,2,0.031000
Sorted,100000,Merge Sort,3,0.047000
Sorted,100000,Merge Sort,4,0.032000
Sorted,100000,Merge Sort,5,0.031000
Sorted,100000,Quick Sort,1,0.000000
Sorted,100000,Quick Sort,2,0.016000
Sorted,100000,Quick Sort,3,0.000000
Sorted,100000,Quick Sort,4,0.000000
Sorted,100000,Quick Sort,5,0.016000
Sorted,100000,Heap Sort,1,0.016000
Sorted,100000,Heap Sort,2,0.032000
Sorted,100000,Heap Sort,3,0.016000
Sorted,100000,Heap Sort,4,0.032000
Sorted,100000,Heap Sort,5,0.016000
Sorted,1000000,Selection Sort,1,1221.959000
Sorted,1000000,Selection Sort,2,1188.196000
Sorted,1000000,Selection Sort,3,1226.097000
Sorted,1000000,Selection Sort,4,1228.873000
Sorted,1000000,Selection Sort,5,1171.618000
Sorted,1000000,Bubble Sort,1,1164.394000
Sorted,1000000,Bubble Sort,2,1168.470000
Sorted,1000000,Bubble Sort,3,1506.033000
Sorted,1000000,Bubble Sort,4,1217.123000
Sorted,1000000,Bubble Sort,5,1249.630000
Sorted,1000000,Insertion Sort,1,0.000000
Sorted,1000000,Insertion Sort,2,0.000000
Sorted,1000000,Insertion Sort,3,0.016000
Sorted,1000000,Insertion Sort,4,0.000000
Sorted,1000000,Insertion Sort,5,0.000000
Sorted,1000000,Merge Sort,1,0.346000
Sorted,1000000,Merge Sort,2,0.349000
Sorted,1000000,Merge Sort,3,0.316000
Sorted,1000000,Merge Sort,4,0.347000
Sorted,1000000,Merge Sort,5,0.348000
Sorted,1000000,Quick Sort,1,0.047000
Sorted,1000000,Quick Sort,2,0.047000
Sorted,1000000,Quick Sort,3,0.048000
Sorted,1000000,Quick Sort,4,0.047000
Sorted,1000000,Quick Sort,5,0.048000
Sorted,1000000,Heap Sort,1,0.278000
Sorted,1000000,Heap Sort,2,0.300000
Sorted,1000000,Heap Sort,3,0.284000
Sorted,1000000,Heap Sort,4,0.268000
Sorted,1000000,Heap Sort,5,0.267000
